Micros,Step
0,Boot
310,Sensor Reading On
1183,Sensor Reading Off
176521,WiFi On
177982,TX On
178503,TX Off
185517,WiFi Off
187102,Deep sleep
0,Boot
397,Sensor Reading On
1332,Sensor Reading Off
168542,WiFi On
170159,TX On
170667,TX Off
177236,WiFi Off
178821,Deep sleep
0,Boot
317,Sensor Reading On
1179,Sensor Reading Off
168811,WiFi On
170427,TX On
170935,TX Off
177507,WiFi Off
179092,Deep sleep
0,Boot
397,Sensor Reading On
1329,Sensor Reading Off
169273,WiFi On
170890,TX On
171399,TX Off
178978,WiFi Off
180564,Deep sleep
0,Boot
397,Sensor Reading On
1293,Sensor Reading Off
168410,WiFi On
170027,TX On
170535,TX Off
177104,WiFi Off
178689,Deep sleep
0,Boot
398,Sensor Reading On
1332,Sensor Reading Off
168554,WiFi On
170170,TX On
170677,TX Off
177248,WiFi Off
178833,Deep sleep
0,Boot
397,Sensor Reading On
1336,Sensor Reading Off
169058,WiFi On
170675,TX On
171183,TX Off
178763,WiFi Off
180348,Deep sleep
0,Boot
316,Sensor Reading On
1179,Sensor Reading Off
168811,WiFi On
170428,TX On
170936,TX Off
178516,WiFi Off
180101,Deep sleep
0,Boot
397,Sensor Reading On
1336,Sensor Reading Off
169283,WiFi On
170900,TX On
171408,TX Off
177977,WiFi Off
179563,Deep sleep
0,Boot
425,Sensor Reading On
1357,Sensor Reading Off
168609,WiFi On
170226,TX On
170734,TX Off
178314,WiFi Off
179899,Deep sleep
0,Boot
354,Sensor Reading On
1283,Sensor Reading Off
169002,WiFi On
170580,TX On
170814,TX Off
177698,WiFi Off
179283,Deep sleep
0,Boot
425,Sensor Reading On
1358,Sensor Reading Off
168609,WiFi On
170225,TX On
170733,TX Off
178314,WiFi Off
179899,Deep sleep
0,Boot
397,Sensor Reading On
1329,Sensor Reading Off
168466,WiFi On
170082,TX On
170590,TX Off
177160,WiFi Off
178745,Deep sleep
0,Boot
326,Sensor Reading On
1260,Sensor Reading Off
168700,WiFi On
170317,TX On
170825,TX Off
177395,WiFi Off
178980,Deep sleep
0,Boot
425,Sensor Reading On
1358,Sensor Reading Off
168609,WiFi On
170226,TX On
170734,TX Off
177303,WiFi Off
178888,Deep sleep
0,Boot
425,Sensor Reading On
1360,Sensor Reading Off
168609,WiFi On
170226,TX On
170734,TX Off
177303,WiFi Off
178888,Deep sleep
0,Boot
319,Sensor Reading On
1179,Sensor Reading Off
168811,WiFi On
170428,TX On
170936,TX Off
177516,WiFi Off
179101,Deep sleep
0,Boot
328,Sensor Reading On
1204,Sensor Reading Off
168846,WiFi On
170431,TX On
170806,TX Off
178551,WiFi Off
180136,Deep sleep
0,Boot
397,Sensor Reading On
1336,Sensor Reading Off
169058,WiFi On
170675,TX On
171183,TX Off
178763,WiFi Off
180349,Deep sleep
0,Boot
397,Sensor Reading On
1332,Sensor Reading Off
168542,WiFi On
170159,TX On
170667,TX Off
177236,WiFi Off
178821,Deep sleep
0,Boot
397,Sensor Reading On
1327,Sensor Reading Off
1792037,WiFi On
1793652,TX On
1794161,TX Off
1800732,WiFi Off
1802383,Deep sleep
