TIMESTAMP,SUB_ID,MSG_TYPE
1713771447356,30978,Connect Ack
1713771452358,7552,Connect Ack
1713771457359,45445,Connect Ack
1713771462359,26039,Connect Ack
1713771467365,37492,Connect Ack
1713771472367,45949,Connect Ack
1713771477368,2151,Connect Ack
1713771482371,32522,Connect Ack
1713771487374,25088,Connect Ack
1713771492374,8094,Connect Ack
1713771497379,3264,Connect Ack
1713771502381,34068,Connect Ack
1713771507381,9173,Connect Ack
1713771512385,13939,Connect Ack
1713771517387,8552,Connect Ack
1713771522388,17834,Connect Ack
1713771527391,33368,Connect Ack
1713771532393,11014,Connect Ack
1713771537393,19776,Connect Ack
1713771542398,12898,Connect Ack
1713771547399,37555,Connect Ack
1713771552399,9461,Connect Ack
1713771557403,46432,Connect Ack
1713771562405,18337,Connect Ack
1713771567405,28331,Connect Ack
1713771572407,14378,Connect Ack
1713771577409,40002,Connect Ack
1713771582409,32297,Connect Ack
1713771587411,8837,Connect Ack
1713771592413,25039,Connect Ack
1713771597413,2503,Connect Ack
1713771602414,30685,Connect Ack
1713771607415,32234,Connect Ack
1713771612415,2847,Connect Ack
1713771617418,32068,Connect Ack
1713771622421,47314,Connect Ack
1713771627421,15823,Connect Ack
1713771632426,36986,Connect Ack
1713771637427,41469,Connect Ack
1713771642427,25367,Connect Ack
1713771647431,37137,Connect Ack
1713771652433,17391,Connect Ack
1713771657433,45130,Connect Ack
1713771662435,45428,Connect Ack
1713771667437,3013,Connect Ack
1713771672437,24289,Connect Ack
1713771677440,10766,Connect Ack
1713771682442,27336,Connect Ack
1713771687442,29300,Connect Ack
1713771692447,27309,Connect Ack
1713771697449,19774,Connect Ack
1713771702449,37773,Connect Ack
1713771707451,29697,Connect Ack
1713771712451,48781,Connect Ack
1713771717452,1796,Connect Ack
1713771722455,8005,Connect Ack
1713771727455,20942,Connect Ack
1713771732456,20974,Connect Ack
1713771737459,17487,Connect Ack
1713771742461,44994,Connect Ack
1713771747462,37496,Connect Ack
1713771752467,2529,Connect Ack
1713771757469,47269,Connect Ack
1713771762469,14061,Connect Ack
1713771767470,5030,Connect Ack
1713771772474,44590,Connect Ack
1713771777474,25550,Connect Ack
1713771782479,5059,Connect Ack
1713771787481,36511,Connect Ack
1713771792481,49934,Connect Ack
1713771797487,39949,Connect Ack
1713771802489,5432,Connect Ack
1713771807489,25337,Connect Ack
1713771812494,35623,Connect Ack
1713771817495,3983,Connect Ack
1713771822495,38625,Connect Ack
1713771827496,4533,Connect Ack
1713771832496,16904,Connect Ack
1713771837496,25777,Connect Ack
1713771842499,1345,Connect Ack
